interpro_id,keywords
IPR000072,"growth factor,pdgfvegf domain,pdgfvegf,growth,signaling receptor,activator activity,activator,factor activity,function,regulator activity,ligand activity,receptor activator,receptor ligand,receptor regulator,function activator,ligand,receptor binding,function regulator,protein binding"
IPR000073,"fold 1,hydrolase fold,alphabeta hydrolase,alphabeta,fold"
IPR000074,"lipoprotein metabolic,lipid,lipid transport,lipid binding,apolipoprotein ae,lipoprotein,ae,extracellular region,extracellular,apolipoprotein,region,lipid localization,macromolecule localization,substance transport"
IPR000076,"symporter activity,symporter,transporter activity,potassiumchloride,potassiumchloride symporter,transmembrane transporter,cation symporter,monoatomic,ion transmembrane,monoatomic ion,anion transmembrane,inorganic,active,kcl,kcl co,active transmembrane,co transporter,cation transmembrane,chloridemonoatomic,chloridemonoatomic cation,ion transport,anionmonoatomic cation,monoatomic anionmonoatomic,anionmonoatomic,chloride transmembrane,solutemonoatomic,solutemonoatomic cation,co,chloride,monoatomic anion,inorganic anion,secondary active,active monoatomic,potassium ion,potassium,secondary,salt transmembrane,salt,inorganic cation,entity transmembrane,inorganic molecular,molecular entity,monoatomic cation"
IPR000077,"ribosome,structural,el39,protein el39,of ribosome,constituent of,structural constituent,constituent,translation,amide,non membrane,non,peptide,large ribosomal,large,subunit protein,ribosomal subunit,peptide biosynthetic,peptide metabolic,molecule activity,structural molecule,amide biosynthetic,amide metabolic,ribosomal,intracellular non"
IPR000079,"nucleosomal,nucleosomal dna,chromatin,hmgn,protein hmgn,chromatin dna,group protein,nucleosome binding,high mobility,mobility,mobility group,chromatin binding,nucleosome,nucleus,non membrane,high,non,complex binding,dna complex,protein dna,chromosome,intracellular non"
IPR000081,"peptidase c3,picornavirus core,peptidase,viral process,proteolysis,protein 2a,c3,peptidase activity,viral,picornavirus,core protein,2a,core,a protein"
IPR000082,"sea domain,sea"
IPR000083,"extracellular region,extracellular,fibronectin,region,type i"
IPR000084,"pe pgrs,pgrs family,pgrs,pe"
IPR000085,"helicase activity,helicase,dna helicase,dna recombination,recombination,subunit ruva,branch migration,migration complex,junction branch,branch,dna repair,dependent activity,ruva,repair,on dna,atp dependent,holliday,holliday junction,to stress,stress,migration,junction,damage response,dna damage,damage,complex subunit,dna metabolic,a nucleic"
IPR000086,"nudix hydrolase,nudix,hydrolase domain"
IPR000089,"biotinlipoyl,biotinlipoyl attachment,attachment"
IPR000090,"flagellum,type flagellum,cell motility,flagellum dependent,dependent cell,motility,bacterial type,motor,bacterial,cytoskeletal motor,motor activity,chemotaxis,cytoskeletal,flig,protein flig,motor switch,switch protein,flagellar motor,switch,archaeal or,or bacterial,or flagellum,cilium or,taxis,locomotion,cilium,flagellar,cell projection,projection,archaeal,to chemical,external stimulus,to external,chemical,external,non membrane,non"
IPR000091,"huntingtin,nucleus,cytoplasm"
IPR000092,"isoprenoid,isoprenoid biosynthetic,lipid,polyprenyl synthetase,polyprenyl,lipid metabolic,isoprenoid metabolic,synthetase,lipid biosynthetic,cellular lipid"
IPR000093,"dna recombination,recombination,protein recr,recr,dna repair,repair,recombination protein,to stress,stress,damage response,dna damage,damage,dna metabolic,cation binding"
IPR000095,"crib,crib domain"
IPR000096,"amyloid a,serum amyloid,serum,amyloid,extracellular region,extracellular,region,a protein"
IPR000098,"cytokine activity,immune,immune response,cytokine,signaling receptor,interleukin 10,activator activity,activator,extracellular region,function,extracellular,region,regulator activity,10,interleukin,ligand activity,receptor activator,receptor ligand,receptor regulator,immune system,system process,function activator,ligand,receptor binding,function regulator,protein binding"
IPR000100,"ribonuclease p,p activity,trna,ribonuclease,endonuclease activity,trna binding,endonuclease,rna endonuclease,processing,5 phosphomonoesters,producing 5,phosphomonoesters,producing,trna processing,nuclease activity,ncrna,nuclease,trna specific,specific ribonuclease,ribonuclease activity,rna nuclease,with either,deoxyribonucleic,either ribo,ribo,or deoxyribonucleic,ribo or,active with,deoxyribonucleic acids,and producing,either,acids and,acids,a trna,ncrna processing,trna metabolic,ncrna metabolic,rna processing,specific,on rna,active,with,on ester,rna binding,ester bonds,ester,a nucleic,and"
IPR000101,"glutathione,glutathione hydrolase,glutathione catabolic,catabolic process,catabolic,peptidase activity,peptidase,glutamyltranspeptidase,gamma glutamyltranspeptidase,omega peptidase,threonine type,omega,glutathione metabolic,threonine,type peptidase,gamma,substance catabolic,a protein"
IPR000102,"neuraxinmap1b,neuraxinmap1b repeat,repeat"
IPR000104,"ice binding,ice,antifreeze protein,antifreeze,type i,molecule binding"
IPR000105,"beta endorphin,endorphin,endorphin receptor,receptor activity,opioid receptor,opioid,protein coupled,g protein,coupled,peptide receptor,coupled receptor,mu opioid,coupled opioid,melanocortin receptor,melanocortin,receptor signaling,signaling pathway,pathway,signaling receptor,beta,mu,peptide,neuropeptide receptor,coupled peptide,neuropeptide,transmembrane signaling,molecular transducer,transducer activity,transducer,signal transduction,transduction,cell communication,communication,signal"
IPR000109,"dependent oligopeptide,proton dependent,transporter activity,oligopeptide transporter,transmembrane transport,transporter family,oligopeptide,transmembrane transporter,proton"
IPR000110,"ribosome,bs1,protein bs1,structural,of ribosome,constituent of,constituent,structural constituent,translation,rna binding,amide,non membrane,non,peptide,small ribosomal,subunit protein,ribosomal subunit,peptide biosynthetic,peptide metabolic,structural molecule,molecule activity,amide biosynthetic,amide metabolic,ribosomal,intracellular non"
IPR000111,"glycosyl,2736,family 2736,hydrolyzing o,o glycosyl,glycosyl compounds,hydrolyzing,compounds,carbohydrate metabolic,hydrolase family,glycoside hydrolase,glycoside,glycosyl bonds,on glycosyl,conserved site,conserved,site"
IPR000112,"receptor 6,coupled receptor,protein coupled,g protein,metabotropic glutamate,metabotropic,receptor signaling,coupled,signaling pathway,pathway,glutamate receptor,family 3,gpcr,glutamate,signal transduction,transduction,cell communication,communication,signal"
IPR000114,"rrna binding,rrna,structural,of ribosome,constituent of,structural constituent,constituent,protein ul16,ul16,ribosome,translation,amide,peptide,bacterial type,large ribosomal,bacterial,large,subunit protein,ribosomal subunit,peptide biosynthetic,peptide metabolic,structural molecule,molecule activity,amide biosynthetic,amide metabolic,ribosomal,rna binding"
IPR000115,"purine nucleobase,nucleobase biosynthetic,phosphoribosylamine,glycine ligase,phosphoribosylamine glycine,ligase activity,nucleobase metabolic,glycine,ligase,purine,purine containing,phosphoribosylglycinamide synthetase,phosphoribosylglycinamide,nitrogen bonds,synthetase,forming carbon,carbon nitrogen,forming,containing small"
IPR000116,"chromatin,hmga,protein hmga,templated transcription,group protein,dna templated,templated,high mobility,mobility group,mobility,nucleus,of dna,of rna,non membrane,rna biosynthetic,of macromolecule,high,non,dna complex,protein dna,chromosome,intracellular non,of nucleobase,of gene,of biosynthetic,of nitrogen,of primary,of metabolic"
IPR000117,"kappa casein,extracellular region,casein,extracellular,kappa,region"
IPR000118,granulin
IPR000119,"of chromatin,chromatin,structural,constituent of,constituent,structural constituent,histone like,like dna,histone,molecule activity,structural molecule,binding protein"
IPR000120,amidase
IPR000121,"phosphorylation,pep utilising,utilising enzyme,utilising,pep,transferring phosphorus,containing groups,enzyme,phosphate containing,phosphorus metabolic"
IPR000123,"dna biosynthetic,rna templated,rna directed,dna polymerase,directed dna,polymerase activity,templated dna,directed,polymerase,msdna,polymerase reverse,reverse transcriptase,transcriptase,rna binding,reverse,templated,nucleotidyltransferase activity,nucleotidyltransferase,on dna,dna metabolic,a nucleic,transferring phosphorus,containing groups"
IPR000124,"fertilization,single fertilization,reproduction,single,spermadhesin,sexual reproduction,sexual,reproductive process,reproductive"
IPR000125,"amylase activity,amylase,beta amylase,polysaccharide metabolic,polysaccharide,14a,family 14a,glycosyl,beta,glycoside hydrolase,glycoside,hydrolyzing o,o glycosyl,glycosyl compounds,on glycosyl,glycosyl bonds,hydrolyzing,bacterial,compounds,carbohydrate metabolic"
IPR000126,"serine,peptidase activity,serine type,v8 family,v8,type peptidase,peptidase,proteolysis,serine proteases,proteases,serine active,serine hydrolase,active site,active,site,a protein"
IPR000128,"steroid,steroid hormone,hormone,hormone mediated,to organic,nuclear steroid,steroid receptor,to steroid,mediated signaling,steroid binding,to lipid,hormone stimulus,to hormone,endogenous stimulus,to endogenous,endogenous,mediated,receptor activity,signaling pathway,progesterone receptor,lipid,pathway,progesterone,to chemical,templated transcription,dna templated,templated,chemical,nucleus,nuclear,of dna,of rna,rna biosynthetic,of macromolecule,lipid binding,chemical stimulus,molecular transducer,transducer activity,transducer,of nucleobase,signaling receptor,of gene,of biosynthetic,of nitrogen,of primary,transduction,signal transduction,cell communication,communication,of metabolic,signal"
IPR000131,"proton,proton transporting,transporting,transporting atp,atp synthase,triphosphate biosynthetic,f1,triphosphate metabolic,nucleoside triphosphate,synthase complex,core f1,purine,transporter activity,atpase complex,triphosphate,channel activity,transmembrane transporter,catalytic core,synthase,rotational mechanism,rotational,force,force driven,driven atp,motive,motive force,proton motive,channel,two sector,sector atpase,sector,transporting two,monoatomic,mechanism,driven,atp synthesis,atpase,ribonucleotide biosynthetic,ribonucleoside triphosphate,two,ribonucleotide,ribonucleoside,nucleotide biosynthetic,synthesis,purine nucleoside,ribonucleotide metabolic,core,ribose phosphate,phosphate biosynthetic,ribose,purine containing,synthase activity,nucleotide metabolic,phosphate metabolic,cation transmembrane,monoatomic cation,organophosphate,inorganic,f1 complex,monoatomic ion,proton channel,purine ribonucleoside,purine ribonucleotide,purine nucleotide,atp biosynthetic,gamma subunit,atp metabolic,proton transmembrane,cation channel,gamma,passive transmembrane,passive,derivative biosynthetic,ion channel,catalytic domain,organophosphate biosynthetic,inorganic cation,ligase activity,containing small,molecular entity,inorganic molecular,entity transmembrane,derivative metabolic,organophosphate metabolic,ion transmembrane,catalytic complex,protein complex,ligase,membrane protein,phosphate containing,phosphorus metabolic"
IPR000132,"nitrilasecyanide,nitrilasecyanide hydratase,hydratase,conserved site,conserved,site"
IPR000133,"retention,er lumen,location,maintenance of,sequence binding,er,maintenance,protein retention,retention in,retention sequence,in er,er retention,protein location,location in,protein localization,of location,sequence,lumen,of protein,localization to,retaining receptor,lumen protein,retaining,in organelle,protein retaining,endoplasmic,endoplasmic reticulum,reticulum,localization in,in cell,in endoplasmic,macromolecule localization,signal sequence,peptide binding,amide binding,to endoplasmic,to organelle,cellular macromolecule,cellular localization,amide,signal,peptide"
IPR000136,"monolayer,monolayer surrounded,surrounded lipid,surrounded,storage body,lipid storage,storage,body,oleosin,lipid,droplet,lipid droplet,non membrane,non,intracellular non"
IPR000138,"coa lyase,hydroxymethylglutaryl coa,hydroxymethylglutaryl,lyase,lyase activity,coa,oxo acid,acid lyase,oxo,active site,carbon lyase,carbon carbon,active,site"
IPR000141,"f receptor,prostaglandin f,prostaglandin,receptor activity,coupled receptor,protein coupled,g protein,coupled,prostaglandin receptor,prostanoid receptor,receptor signaling,signaling pathway,icosanoid receptor,prostanoid,pathway,icosanoid,signaling receptor,transmembrane signaling,molecular transducer,transducer activity,transducer,signal transduction,transduction,cell communication,communication,signal"
IPR000142,"nucleotide receptor,relaxation of,purinergic nucleotide,purinergic,relaxation,muscle,c activating,platelet activation,receptor activity,protein coupled,coupled purinergic,activating g,g protein,platelet,of muscle,coupled,phospholipase c,coagulation,activation,coupled receptor,phospholipase,receptor signaling,activating,signaling pathway,purinoceptor 1,pathway,system process,p2y purinoceptor,p2y,muscle system,purinoceptor,blood coagulation,signaling receptor,healing,hemostasis,wound healing,wounding,to wounding,cell activation,wound,fluid levels,of body,body fluid,fluid,blood,levels,body,biological quality,quality,transmembrane signaling,organismal process,organismal,multicellular organismal,multicellular,molecular transducer,transducer activity,transducer,to stress,stress,signal transduction,transduction,cell communication,communication,signal"
IPR000143,"viral capsid,27kd,geminivirus msv,27kd coat,msv 27kd,capsid,msv,viral,structural molecule,molecule activity,geminivirus,structural,coat protein,coat,virion component,virion"
IPR000144,"receptor 8,coupled receptor,protein coupled,g protein,metabotropic glutamate,metabotropic,receptor signaling,coupled,signaling pathway,pathway,glutamate receptor,family 3,gpcr,glutamate,signal transduction,transduction,cell communication,communication,signal"
IPR000145,"capsid,viral capsid,protein vp5,vp5,viral,orbivirus,structural molecule,molecule activity,outer capsid,structural,capsid protein,virion component,virion,outer"
IPR000146,"bisphosphatase class,phosphatase activity,16 bisphosphatase,fructose 16,carbohydrate metabolic,bisphosphatase,phosphatase,class 1,ester,fructose,16,phosphoric,phosphoric ester,ester hydrolase,class,on ester,ester bonds"
IPR000147,"angiotensin,ii receptor,angiotensin type,diameter,receptor activity,blood,apoptotic process,apoptotic,cell death,vessel diameter,of tube,diameter maintenance,inflammatory response,inflammatory,death,blood vessel,vessel,protein coupled,circulatory system,size,circulatory,g protein,of apoptotic,tube,coupled,peptide receptor,coupled receptor,programmed cell,programmed,maintenance,type ii,angiotensin receptor,ii,system process,angiotensin ii,receptor signaling,signaling pathway,pathway,signaling receptor,tube diameter,vascular process,tube size,in circulatory,process in,blood circulation,vascular,circulation,receptor type,structure size,peptide,of programmed,coupled peptide,of anatomical,type 2,biological quality,quality,defense response,defense,transmembrane signaling,multicellular organismal,organismal,organismal process,multicellular,molecular transducer,transducer activity,transducer,to stress,stress,transduction,signal transduction,cell communication,communication,signal"
IPR000148,"papillomavirus e7,e7,templated transcription,dna templated,templated,binding transcription,factor activity,papillomavirus,transcription factor,of dna,of rna,rna biosynthetic,of macromolecule,transcription regulator,of nucleobase,of gene,of biosynthetic,of nitrogen,of primary,of metabolic,regulator activity"
IPR000149,"host,fusion,host cell,membrane with,virus membrane,viral,host plasma,fusion of,of virus,membrane fusion,viral envelope,cell surface,surface,with host,surface receptor,influenzavirus a,influenzavirus,virus,receptor binding,organization,envelope,plasma membrane,plasma,surface binding,haemagglutinin,with,fusion involved,in viral,viral entry,into host,entry into,component organization,viral membrane,entry,membrane organization,into,virion component,virion,viral process,involved,involved in,organization or,or biogenesis,biogenesis"
IPR000150,"cof,cof family"
IPR000151,"ciliary neurotrophic,neuron apoptotic,neurotrophic,neurotrophic factor,ciliary,of neuron,apoptotic process,apoptotic,neuron,cell death,negative regulation,negative,death,cytokine,mediated signaling,factor mediated,programmed,programmed cell,to cytokine,receptor binding,of programmed,of apoptotic,signaling pathway,pathway,mediated,to organic,factor receptor,cntf,to chemical,chemical,cytokine mediated,cytokine stimulus,cytokine receptor,chemical stimulus,surface receptor,cell surface,surface,receptor signaling,signaling receptor,transduction,signal transduction,cell communication,communication,protein binding,signal"
IPR000152,"aspartateasparagine,aspartateasparagine hydroxylation,egf type,hydroxylation site,type aspartateasparagine,hydroxylation,egf,site"
IPR000153,"viral,life cycle,viral life,life,sigma 3,capsid sigma,cycle,molecule activity,structural molecule,outer capsid,structural,reovirus,sigma,capsid,viral process,outer"
IPR000154,"prostaglandin,receptor activity,e receptor,prostaglandin e,prostanoid,coupled receptor,protein coupled,g protein,coupled,prostanoid ep3,ep3 receptor,ep3,prostaglandin receptor,prostanoid receptor,receptor signaling,signaling pathway,icosanoid receptor,pathway,icosanoid,type 3,signaling receptor,receptor type,transmembrane signaling,molecular transducer,transducer activity,transducer,transduction,signal transduction,cell communication,communication,signal"
